"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 15 14:39:40 GMT 2022","Fri Jul 15 14:39:40 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String)",""
"skipped","Fri Jul 15 14:39:40 GMT 2022","Fri Jul 15 14:39:40 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageURLTest","homePageURLTest()",""
"skipped","Fri Jul 15 14:39:40 GMT 2022","Fri Jul 15 14:39:40 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","searchTest","searchTest(String)",""
"skipped","Fri Jul 15 14:39:40 GMT 2022","Fri Jul 15 14:39:40 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageTitleTest","homePageTitleTest()",""
"passed","Fri Jul 15 14:39:25 GMT 2022","Fri Jul 15 14:39:40 GMT 2022","14891","","com.safina.lyudmila.tests.testcontainers.TestContainerDemoTest","","com.safina.lyudmila.tests.testcontainers.TestContainerDemoTest","mockServerTest","mockServerTest()",""
"skipped","Fri Jul 15 14:39:40 GMT 2022","Fri Jul 15 14:39:40 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String)",""
