"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","42","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [1] Name",""
"passed","Tue Jul 19 08:45:45 GMT 2022","Tue Jul 19 08:45:46 GMT 2022","1106","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [16] Aug",""
"passed","Tue Jul 19 08:45:41 GMT 2022","Tue Jul 19 08:45:41 GMT 2022","267","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [1] Name, Isabelle Black",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:44 GMT 2022","129","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [9] Jan",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","33","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [2] Language",""
"passed","Tue Jul 19 08:45:44 GMT 2022","Tue Jul 19 08:45:44 GMT 2022","170","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [10] Feb",""
"passed","Tue Jul 19 08:45:45 GMT 2022","Tue Jul 19 08:45:45 GMT 2022","803","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [15] Jul",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","46","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [4] Game Name",""
"skipped","Tue Jul 19 08:45:50 GMT 2022","Tue Jul 19 08:45:50 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageURLTest","homePageURLTest()",""
"passed","Tue Jul 19 08:45:44 GMT 2022","Tue Jul 19 08:45:44 GMT 2022","467","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [12] Apr",""
"passed","Tue Jul 19 08:45:44 GMT 2022","Tue Jul 19 08:45:44 GMT 2022","41","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [14] Jun",""
"passed","Tue Jul 19 08:45:44 GMT 2022","Tue Jul 19 08:45:44 GMT 2022","46","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [11] Mar",""
"passed","Tue Jul 19 08:45:42 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","515","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [3] Game Name, Tablut",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","37","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [3] Country",""
"passed","Tue Jul 19 08:45:46 GMT 2022","Tue Jul 19 08:45:48 GMT 2022","1240","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [18] Oct",""
"skipped","Tue Jul 19 08:45:50 GMT 2022","Tue Jul 19 08:45:50 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageTitleTest","homePageTitleTest()",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","45","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [7] Rating",""
"passed","Tue Jul 19 08:45:48 GMT 2022","Tue Jul 19 08:45:48 GMT 2022","70","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [19] Nov",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","44","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [6] Bank Balance",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","45","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [8] Total Winnings",""
"passed","Tue Jul 19 08:45:48 GMT 2022","Tue Jul 19 08:45:50 GMT 2022","1829","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [20] Dec",""
"passed","Tue Jul 19 08:45:41 GMT 2022","Tue Jul 19 08:45:42 GMT 2022","680","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [2] Name, Kevin Hudson",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","85","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [4] Game Name, Checkers",""
"passed","Tue Jul 19 08:45:44 GMT 2022","Tue Jul 19 08:45:44 GMT 2022","37","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [13] May",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","35","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [5] Bought",""
"passed","Tue Jul 19 08:45:05 GMT 2022","Tue Jul 19 08:45:22 GMT 2022","17137","","com.safina.lyudmila.tests.testcontainers.TestContainerDemoTest","","com.safina.lyudmila.tests.testcontainers.TestContainerDemoTest","mockServerTest","mockServerTest()",""
"passed","Tue Jul 19 08:45:43 GMT 2022","Tue Jul 19 08:45:43 GMT 2022","173","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [5] Bank Balance, $51,284",""
"skipped","Tue Jul 19 08:45:50 GMT 2022","Tue Jul 19 08:45:50 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","searchTest","searchTest(String)",""
"passed","Tue Jul 19 08:45:46 GMT 2022","Tue Jul 19 08:45:46 GMT 2022","34","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [17] Sep",""
