"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 27 08:49:47 GMT 2022","Tue Dec 27 08:49:47 GMT 2022","44","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [2] Language",""
"skipped","Tue Dec 27 08:49:51 GMT 2022","Tue Dec 27 08:49:51 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageTitleTest","homePageTitleTest()",""
"passed","Tue Dec 27 08:49:49 GMT 2022","Tue Dec 27 08:49:49 GMT 2022","683","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [16] Aug",""
"passed","Tue Dec 27 08:49:47 GMT 2022","Tue Dec 27 08:49:47 GMT 2022","20","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [5] Bought",""
"passed","Tue Dec 27 08:49:49 GMT 2022","Tue Dec 27 08:49:50 GMT 2022","25","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [17] Sep",""
"passed","Tue Dec 27 08:49:50 GMT 2022","Tue Dec 27 08:49:50 GMT 2022","22","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [19] Nov",""
"passed","Tue Dec 27 08:49:47 GMT 2022","Tue Dec 27 08:49:47 GMT 2022","22","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [7] Rating",""
"passed","Tue Dec 27 08:49:47 GMT 2022","Tue Dec 27 08:49:47 GMT 2022","30","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [1] Name",""
"passed","Tue Dec 27 08:49:47 GMT 2022","Tue Dec 27 08:49:47 GMT 2022","29","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [6] Bank Balance",""
"passed","Tue Dec 27 08:49:50 GMT 2022","Tue Dec 27 08:49:50 GMT 2022","765","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [18] Oct",""
"skipped","Tue Dec 27 08:49:51 GMT 2022","Tue Dec 27 08:49:51 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","searchTest","searchTest(String)",""
"passed","Tue Dec 27 08:49:47 GMT 2022","Tue Dec 27 08:49:47 GMT 2022","213","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [3] Game Name, Tablut",""
