"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 27 08:51:49 GMT 2022","Tue Dec 27 08:51:49 GMT 2022","375","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [15] Jul",""
"passed","Tue Dec 27 08:51:47 GMT 2022","Tue Dec 27 08:51:47 GMT 2022","389","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [3] Game Name, Tablut",""
"passed","Tue Dec 27 08:51:48 GMT 2022","Tue Dec 27 08:51:48 GMT 2022","45","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [11] Mar",""
"passed","Tue Dec 27 08:51:47 GMT 2022","Tue Dec 27 08:51:47 GMT 2022","405","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [2] Name, Kevin Hudson",""
"passed","Tue Dec 27 08:51:48 GMT 2022","Tue Dec 27 08:51:48 GMT 2022","26","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [5] Bought",""
"passed","Tue Dec 27 08:51:48 GMT 2022","Tue Dec 27 08:51:48 GMT 2022","34","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [6] Bank Balance",""
"passed","Tue Dec 27 08:51:48 GMT 2022","Tue Dec 27 08:51:49 GMT 2022","376","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [13] May",""
"passed","Tue Dec 27 08:51:47 GMT 2022","Tue Dec 27 08:51:47 GMT 2022","55","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [4] Game Name, Checkers",""
"passed","Tue Dec 27 08:51:50 GMT 2022","Tue Dec 27 08:51:50 GMT 2022","18","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [19] Nov",""
"passed","Tue Dec 27 08:51:48 GMT 2022","Tue Dec 27 08:51:48 GMT 2022","32","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [2] Language",""
"passed","Tue Dec 27 08:51:48 GMT 2022","Tue Dec 27 08:51:48 GMT 2022","108","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [10] Feb",""
"skipped","Tue Dec 27 08:51:51 GMT 2022","Tue Dec 27 08:51:51 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageTitleTest","homePageTitleTest()",""
"passed","Tue Dec 27 08:51:47 GMT 2022","Tue Dec 27 08:51:48 GMT 2022","38","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [5] Bank Balance, $51,284",""
