"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","AgGridTest",""
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","1","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [17] Sep",""
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","1","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [12] Apr",""
"passed","Tue Jul 19 08:44:44 GMT 2022","Tue Jul 19 08:44:44 GMT 2022","221","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [1] Name, Isabelle Black",""
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","1","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [19] Nov",""
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","6","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [3] Country",""
"skipped","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageURLTest","homePageURLTest()",""
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","2","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [5] Bank Balance, $51,284",""
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","1","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [14] Jun",""
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","2","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [4] Game Name, Checkers",""
"broken","Tue Jul 19 10:08:30 GMT 2022","Tue Jul 19 10:08:30 GMT 2022","4","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [3] Game Name, Tablut",""
